,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,SalePrice_Log,Age,Baths,BsmtFinSF,MSZoning_Oth,MSZoning_RL,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Lvl,LandContour_Oth,LotConfig_Inside,LotConfig_Oth,LandSlope_Gtl,LandSlope_Oth,BldgType_1Fam,BldgType_Oth,RoofStyle_Gable,RoofStyle_Oth,MasVnrType_Brick,MasVnrType_Oth,ExterQual_Avg,ExterQual_Ex,ExterQual_Gd,ExterCond_Avg,ExterCond_Ex,ExterCond_Gd,Foundation_CBlock,Foundation_Oth,Foundation_PConc,BsmtQual_Avg,BsmtQual_Gd,BsmtExposure_Yes,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_None,BsmtFinType1_Rec,HeatingQC_Avg,HeatingQC_Gd,CentralAir_Yes,Electrical_Yes,KitchenQual_Avg,KitchenQual_Gd,GarageType_Attchd,GarageType_None,GarageType_Oth,PavedDrive_Yes,Fence_Yes,2Story_Y,RoadRail_Yes,Exterior_BrkComm,Exterior_CemntBd,Exterior_HdBoard,Exterior_MetalSd,Exterior_Other,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,NeighType_-0.4859412535087276,NeighType_-1.4599519703955643,NeighType_0.4880694633781091,NeighType_1.2015960776350928e-16,NeighType_1.462080180264946
0,-0.08724891339769637,0.6358941026257752,-0.6728676671476155,1.040865792149524,0.8671814305718155,0.5066433490301405,-0.008552611514968882,0.5076959746006928,0.20791870586109604,0.9469140869601316,-0.9568878566532428,0.332570877712456,-0.7550856808805708,0.2158041649989489,-1.5994529452528568,0.1338331294353117,0.3283825089062594,0.5457015409558031,-0.5488834841031427,1.4039433037888367,0.712844078273399,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0.5807139640058498,-0.19112547466561253,2.3420135898460543,0.13759871969988816,-0.4517910799012629,-0.5701992272717892,0.33934752402810386,-0.4060988287461694,0.20791870586109604,-0.2182664467946273,0.5885972978715879,0.2205796158966236,1.6184454187659028,-0.7267635496356172,-0.4862208719492566,-0.6218344184738095,-0.0099090386819841,0.19295178198314,-0.5488834841031427,0.4716620056305747,0.8213457964705663,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0.05613671053198445,0.6358941026257752,-0.6728676671476155,0.9739571201162176,0.8183305968505904,0.3198441266104181,0.05454587837569621,0.6419361895859462,0.20791870586109604,-0.2182664467946273,0.5885972978715879,0.4004469512413524,-0.7550856808805708,-0.07778250021509621,0.9980885591222104,0.1338331294353117,0.5163222575663947,0.7224089010196175,-0.5078037298373275,1.4039433037888367,0.5948724664187602,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,-0.3392364472636353,0.6358941026257752,-0.6728676671476155,-1.903115777315956,-0.7448960822286137,-0.5701992272717892,-0.11567890135902638,0.5202699463948048,0.20791870586109604,0.39982459493922096,0.5885972978715879,0.4364187610922423,-0.7550856808805708,-0.18594600845184966,-1.5994529452528568,-1.3775019663829309,-0.5298756766416918,-0.4673897437621399,1.710503000516696,-0.12116557863173615,0.3603342525315458,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4,0.7407105717478423,1.462913679917163,-0.6728676671476155,0.9405027840995646,0.72062892940814,1.3527339446959423,0.2502392557132365,1.294915561169402,0.7698052339930662,1.4386613621024578,0.5885972978715879,0.6152018214407754,0.7741692558044054,0.5711985492054246,2.1113206324258105,0.1338331294353117,0.8483491468659671,1.0074139921803271,-0.5488834841031427,1.4039433037888367,0.6886222538292418,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0.7796958477609217,-1.0181450519570003,-0.6728676671476155,0.7063224319829923,0.4763747608020145,-0.5701992272717892,-0.07146128978952868,-0.18062449684742216,-1.727983335324503,-0.9311018844135528,-0.9568878566532428,0.2475381022126745,-0.4364909024045341,-0.2632056571923879,1.3691659168900772,0.8895006773444329,-0.4922877269096647,-0.4134607232124205,-0.4667239755715122,0.4716620056305747,0.7246247938749484,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0.3708649756391331,1.462913679917163,-0.6728676671476155,1.0743201281661774,0.9648830980142656,0.4517024012596339,0.6124717499342555,0.4787903515859917,0.20791870586109604,0.39982459493922096,0.5885972978715879,0.43019037995315934,1.2759560319041632,0.15399644600651835,0.6270112013543436,-0.6218344184738095,1.5625201917744809,1.5298288734713792,-0.5078037298373275,0.9709857154419236,0.93902318866102,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,0.05613671053198445,0.6358941026257752,0.3320927518502745,0.037235711649928616,-0.5983435810649383,0.7483835192203697,0.21963015988392875,1.1345428858277846,0.20791870586109604,0.39982459493922096,2.1340824523964192,0.2528148838135892,1.116658642666145,2.425430118978341,1.7402432746579437,0.8895006773444329,0.22188331799884944,0.43983421533788575,-0.5488834841031427,1.4039433037888367,0.7897845344251055,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8,-0.8416584431781066,0.6358941026257752,-0.6728676671476155,-1.3678464010495048,-1.7219127566531165,-0.5701992272717892,0.08470654210121761,0.6210672204525131,-0.5439556925329229,0.9469140869601316,2.1340824523964192,0.2314803391434738,-0.038247429309488185,-0.7267635496356172,-0.8572982297171233,0.1338331294353117,-0.6564217740728495,-0.6578448526953792,0.231631846947347,-0.12116557863173615,-1.452914844239258,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
9,-0.9020447289054327,-1.0181450519570003,0.3320927518502745,-1.1002117129162796,-1.7219127566531165,-0.5701992272717892,0.12032098966092886,-0.8666319888078621,-0.5439556925329229,-0.9311018844135528,2.1340824523964192,-0.26001529789714994,-0.7550856808805708,-0.6649558306431864,-1.9705303030207235,0.1338331294353117,-0.8055206413432234,-0.9022303086632304,-0.097006187179175,-0.12116557863173615,0.7743857920828744,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
10,0.14876785041605875,-1.0181450519570003,-0.6728676671476155,-0.23039897648329685,-0.9891502508347392,-0.5701992272717892,0.16341595477396026,-0.9667298328012296,0.20791870586109604,-0.9311018844135528,-0.9568878566532428,0.1080877230545924,-0.7550856808805708,-0.7267635496356172,-1.5994529452528568,0.1338331294353117,-0.6614335007037864,-0.6656892851829047,-0.5488834841031427,-0.12116557863173615,0.7954078115511548,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,0.7796958477609217,2.289933257208551,-0.6728676671476155,1.1077744641828304,1.0137339317354908,1.0011118789647002,0.2738002233008979,1.4737614349802008,0.7698052339930662,2.29673907871472,2.1340824523964192,0.5280554394243041,0.4157501300188641,-0.4022730249253566,0.2559338435864769,-1.3775019663829309,2.0386342217134903,1.8266546719364591,-0.5078037298373275,1.7871660510573633,0.8282621776405917,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
