,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,NeighType,SalePrice_Log,Age,Baths,BsmtFinSF,MSZoning_Oth,MSZoning_RL,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Lvl,LandContour_Oth,LotConfig_Inside,LotConfig_Oth,LandSlope_Gtl,LandSlope_Oth,BldgType_1Fam,BldgType_Oth,RoofStyle_Gable,RoofStyle_Oth,MasVnrType_Brick,MasVnrType_None,MasVnrType_Oth,ExterQual_Avg,ExterQual_Ex,ExterQual_Gd,ExterCond_Avg,ExterCond_Ex,ExterCond_Gd,Foundation_CBlock,Foundation_Oth,Foundation_PConc,BsmtQual_Avg,BsmtQual_Gd,BsmtQual_None,BsmtExposure_None,BsmtExposure_Yes,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_None,BsmtFinType1_Rec,HeatingQC_Avg,HeatingQC_Gd,CentralAir_None,CentralAir_Yes,Electrical_None,Electrical_Yes,KitchenQual_Avg,KitchenQual_Gd,GarageType_Attchd,GarageType_None,GarageType_Oth,PavedDrive_None,PavedDrive_Yes,Fence_None,Fence_Yes,2Story_N,2Story_Y,RoadRail_None,RoadRail_Yes,Exterior_BrkComm,Exterior_CemntBd,Exterior_HdBoard,Exterior_MetalSd,Exterior_Other,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing
0,5.80273872401839,7,5,2003,2003,196.0,11.689407579365227,13.6971021272942,1.1943176378757767,2.440268378362637,0.0,10.501575267176273,0.0,61.0,2,2008,208500.0,3.0,12.247699116372562,0,1.3782017963726023,11.16654014453778,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1,6.1972210008779385,6,8,1976,1976,0.0,12.789964409965306,12.789964409965306,1.1943176378757767,2.055641538058108,1.0,10.056650085160447,298.0,0.0,5,2007,181500.0,4.0,12.109016442313738,0,0.9822467037532344,12.059960718669018,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
2,5.88741871045203,7,5,2001,2002,162.0,11.889015072881492,13.830364388963288,1.1943176378757767,2.055641538058108,1.0,10.771237148645444,0.0,42.0,9,2008,223500.0,3.0,12.317171167298682,1,1.3782017963726023,10.195142945068264,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
3,5.653921148278169,7,5,1915,1970,0.0,11.350521335930221,13.709584496453328,1.1943176378757767,2.2596737867230705,1.0,10.914147977453368,0.0,35.0,2,2006,140000.0,3.0,11.849404844423075,55,0.7304631471189666,8.263917622663177,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
4,6.2917110215767,8,5,2000,2000,350.0,12.50807687001426,14.478586740886893,1.5409627556327752,2.6025944687727294,1.0,11.624427372266581,192.0,84.0,12,2008,250000.0,4.0,12.429220196836386,0,1.3782017963726023,10.967093751789596,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
5,6.3147347568259065,5,5,1993,1995,0.0,11.490400541121295,13.01379613893307,0.0,1.820334103642824,0.0,10.163752275425656,40.0,30.0,10,2009,143000.0,2.0,11.870606902224589,2,0.9822467037532344,11.26354444890545,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
6,6.07328940298831,8,5,2004,2005,186.0,13.65397307714836,13.668407084617783,1.1943176378757767,2.2596737867230705,1.0,10.88940351465298,255.0,57.0,8,2007,307000.0,4.0,12.63460628389302,1,1.1943176378757767,13.02893526616892,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
7,5.88741871045203,7,6,1973,1973,240.0,12.41124721675514,14.319382396433973,1.1943176378757767,2.2596737867230705,2.0,10.184716170074022,235.0,204.0,11,2009,200000.0,3.0,12.206077645517675,0,1.3782017963726023,11.800080217922273,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
8,5.357203202420049,7,5,1931,1950,0.0,11.984426143724392,13.80964745234538,0.7304631471189666,2.440268378362637,2.0,10.099957091404244,90.0,0.0,4,2008,129900.0,2.0,11.774527900858464,19,0.7304631471189666,-6.666666666666668,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
9,5.3215405626377255,5,6,1939,1950,0.0,12.097089863928765,12.332786279774027,0.7304631471189666,1.820334103642824,2.0,8.147315588624346,0.0,4.0,1,2008,118000.0,1.0,11.678448377988165,11,0.7304631471189666,11.673284500279395,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
